Organisation;Internetadresse;AGS;Typ;PLZ;Landkreis;Bundesland
Betzigau;https://www.betzigau.de;09780114;Gemeinde in Deutschland ohne Stadtrecht;87488;Landkreis Oberallgäu;Bayern
Balderschwang;http://www.balderschwang.de;09780113;Gemeinde in Deutschland ohne Stadtrecht;87538;Landkreis Oberallgäu;Bayern
Altusried;https://www.altusried.de;09780112;Gemeinde in Deutschland ohne Stadtrecht;87452;Landkreis Oberallgäu;Bayern
Wolferstadt;https://wolferstadt.de;09779231;Gemeinde in Deutschland ohne Stadtrecht;86709;Landkreis Donau-Ries;Bayern
Wemding;https://wemding.de;09779228;Stadt in Deutschland;86650;Landkreis Donau-Ries;Bayern
Wechingen;http://www.wechingen.de;09779226;Gemeinde in Deutschland ohne Stadtrecht;86759;Landkreis Donau-Ries;Bayern
Wallerstein;https://www.markt-wallerstein.de;09779224;Gemeinde in Deutschland ohne Stadtrecht;86757;Landkreis Donau-Ries;Bayern
Tapfheim;http://www.tapfheim.de;09779218;Gemeinde in Deutschland ohne Stadtrecht;86660;Landkreis Donau-Ries;Bayern
Tagmersheim;http://www.tagmersheim.de;09779217;Gemeinde in Deutschland ohne Stadtrecht;86704;Landkreis Donau-Ries;Bayern
Rögling;http://www.roegling.de;09779206;Gemeinde in Deutschland ohne Stadtrecht;86703;Landkreis Donau-Ries;Bayern
Reimlingen;http://reimlingen.de;09779203;Gemeinde in Deutschland ohne Stadtrecht;86756;Landkreis Donau-Ries;Bayern
Rain am Lech;http://www.rain.de;09779201;Stadt in Deutschland;86641;Landkreis Donau-Ries;Bayern
Otting;http://www.gemeinde-otting.de;09779198;Gemeinde in Deutschland ohne Stadtrecht;86700;Landkreis Donau-Ries;Bayern
Oettingen in Bayern;http://www.oettingen.de;09779197;Stadt in Deutschland;86729–86732;Landkreis Donau-Ries;Bayern
Oberndorf am Lech;http://www.oberndorf-am-lech.de;09779196;Gemeinde in Deutschland ohne Stadtrecht;86698;Landkreis Donau-Ries;Bayern
Nördlingen;https://www.noerdlingen.de;09779194;Sehenswürdigkeit;86720;Landkreis Donau-Ries;Bayern
Niederschönenfeld;https://www.niederschoenenfeld.de;09779192;Gemeinde in Deutschland ohne Stadtrecht;86694;Landkreis Donau-Ries;Bayern
Munningen;http://www.munningen.de;09779188;Gemeinde in Deutschland ohne Stadtrecht;86754;Landkreis Donau-Ries;Bayern
Münster;http://www.gemeinde-muenster.de;09779187;Gemeinde in Deutschland ohne Stadtrecht;86692;Landkreis Donau-Ries;Bayern
Monheim;https://monheim-bayern.de;09779186;Stadt in Deutschland;86653;Landkreis Donau-Ries;Bayern
Möttingen;http://www.moettingen.de;09779185;Gemeinde in Deutschland ohne Stadtrecht;86753;Landkreis Donau-Ries;Bayern
Mönchsdeggingen;https://www.moenchsdeggingen.de;09779184;Gemeinde in Deutschland ohne Stadtrecht;86751;Landkreis Donau-Ries;Bayern
Mertingen;http://www.mertingen.de;09779181;Gemeinde in Deutschland ohne Stadtrecht;86690;Landkreis Donau-Ries;Bayern
Megesheim;http://www.megesheim.de;09779180;Gemeinde in Deutschland ohne Stadtrecht;86750;Landkreis Donau-Ries;Bayern
Marxheim;https://gemeinde-marxheim.de;09779178;Gemeinde in Deutschland ohne Stadtrecht;86688;Landkreis Donau-Ries;Bayern
Marktoffingen;https://marktoffingen.de;09779177;Gemeinde in Deutschland ohne Stadtrecht;86748;Landkreis Donau-Ries;Bayern
Maihingen;https://maihingen.de;09779176;Gemeinde in Deutschland ohne Stadtrecht;86747;Landkreis Donau-Ries;Bayern
Kaisheim;http://www.kaisheim.de;09779169;Gemeinde in Deutschland ohne Stadtrecht;86687;Landkreis Donau-Ries;Bayern
Huisheim;http://www.huisheim.de;09779167;Gemeinde in Deutschland ohne Stadtrecht;86685;Landkreis Donau-Ries;Bayern
Holzheim;http://www.gemeinde-holzheim.de;09779163;Gemeinde in Deutschland ohne Stadtrecht;86684;Landkreis Donau-Ries;Bayern
Hohenaltheim;http://www.hohenaltheim.de;09779162;Gemeinde in Deutschland ohne Stadtrecht;86745;Landkreis Donau-Ries;Bayern
Harburg (Schwaben);https://www.stadt-harburg-schwaben.de;09779155;Stadt in Deutschland;86655;Landkreis Donau-Ries;Bayern
Hainsfarth;https://www.vg-oettingen.de/mitgliedsgemeinden/hainsfarth;09779154;Gemeinde in Deutschland ohne Stadtrecht;86744;Landkreis Donau-Ries;Bayern
Genderkingen;https://www.genderkingen.de;09779149;Gemeinde in Deutschland ohne Stadtrecht;86682;Landkreis Donau-Ries;Bayern
Fünfstetten;http://www.fuenfstetten.de;09779148;Gemeinde in Deutschland ohne Stadtrecht;86681;Landkreis Donau-Ries;Bayern
Fremdingen;https://www.fremdingen.de;09779147;Gemeinde in Deutschland ohne Stadtrecht;86742;Landkreis Donau-Ries;Bayern
Forheim;https://www.forheim.de;09779146;Gemeinde in Deutschland ohne Stadtrecht;86735;Landkreis Donau-Ries;Bayern
Ehingen am Ries;http://www.ehingen-am-ries.de;09779138;Gemeinde in Deutschland ohne Stadtrecht;86741;Landkreis Donau-Ries;Bayern
Ederheim;http://www.ederheim.de;09779136;Gemeinde in Deutschland ohne Stadtrecht;86739;Landkreis Donau-Ries;Bayern
Donauwörth;https://www.donauwoerth.de;09779131;Stadt in Deutschland;86609;Landkreis Donau-Ries;Bayern
Deiningen;https://deiningen.de;09779130;Gemeinde in Deutschland ohne Stadtrecht;86738;Landkreis Donau-Ries;Bayern
Daiting;http://www.gemeinde-daiting.de;09779129;Gemeinde in Deutschland ohne Stadtrecht;86653;Landkreis Donau-Ries;Bayern
Buchdorf;https://www.buchdorf.net;09779126;Gemeinde in Deutschland ohne Stadtrecht;86675;Landkreis Donau-Ries;Bayern
Auhausen;http://www.auhausen.de;09779117;Gemeinde in Deutschland ohne Stadtrecht;86736;Landkreis Donau-Ries;Bayern
Asbach-Bäumenheim;http://www.asbach-baeumenheim.de;09779115;Gemeinde in Deutschland ohne Stadtrecht;86663;Landkreis Donau-Ries;Bayern
Amerdingen;https://amerdingen.de;09779112;Gemeinde in Deutschland ohne Stadtrecht;86735;Landkreis Donau-Ries;Bayern
Alerheim;http://www.alerheim.de;09779111;Gemeinde in Deutschland ohne Stadtrecht;86733;Landkreis Donau-Ries;Bayern
Kettershausen;http://www.kettershausen.de;09778221;Gemeinde in Deutschland ohne Stadtrecht;86498;Landkreis Unterallgäu;Bayern
Woringen;https://www.woringen.de;09778219;Gemeinde in Deutschland ohne Stadtrecht;87789;Landkreis Unterallgäu;Bayern
Wolfertschwenden;https://www.wolfertschwenden.de;09778218;Gemeinde in Deutschland ohne Stadtrecht;87787;Landkreis Unterallgäu;Bayern
Winterrieden;https://winterrieden.de;09778217;Gemeinde in Deutschland ohne Stadtrecht;87785;Landkreis Unterallgäu;Bayern
Wiedergeltingen;http://www.wiedergeltingen.de;09778216;Gemeinde in Deutschland ohne Stadtrecht;86879;Landkreis Unterallgäu;Bayern
Westerheim;http://www.gemeinde-westerheim.de;09778214;Gemeinde in Deutschland ohne Stadtrecht;87784;Landkreis Unterallgäu;Bayern
Rammingen;http://www.rammingen.de;09778209;Gemeinde in Deutschland ohne Stadtrecht;86871;Landkreis Unterallgäu;Bayern
Unteregg;https://www.unteregg.de;09778207;Gemeinde in Deutschland ohne Stadtrecht;87782;Landkreis Unterallgäu;Bayern
Ungerhausen;http://www.ungerhausen.de;09778205;Gemeinde in Deutschland ohne Stadtrecht;87781;Landkreis Unterallgäu;Bayern
Tussenhausen;https://www.tussenhausen.de;09778204;Markt in Deutschland;86874;Landkreis Unterallgäu;Bayern
Türkheim;http://www.tuerkheim.de;09778203;Markt in Deutschland;86842;Landkreis Unterallgäu;Bayern
Trunkelsberg;http://www.trunkelsberg.de;09778202;Gemeinde in Deutschland ohne Stadtrecht;87779;Landkreis Unterallgäu;Bayern
Stetten;http://www.stetten-schwaben.de;09778199;Gemeinde in Deutschland ohne Stadtrecht;87778;Landkreis Unterallgäu;Bayern
Sontheim;http://www.sontheim.de;09778196;Gemeinde in Deutschland ohne Stadtrecht;87776;Landkreis Unterallgäu;Bayern
Salgen;https://www.salgen.de;09778190;Gemeinde in Deutschland ohne Stadtrecht;87775;Landkreis Unterallgäu;Bayern
Pleß;https://pless.vgem-boos.de;09778188;Gemeinde in Deutschland ohne Stadtrecht;87773;Landkreis Unterallgäu;Bayern
Pfaffenhausen;http://www.pfaffenhausen.info;09778187;Markt in Deutschland;87772;Landkreis Unterallgäu;Bayern
Ottobeuren;http://www.ottobeuren.de;09778186;Gemeinde in Deutschland ohne Stadtrecht;87724;Landkreis Unterallgäu;Bayern
Oberschönegg;http://www.oberschoenegg.de;09778184;Gemeinde in Deutschland ohne Stadtrecht;87770;Landkreis Unterallgäu;Bayern
Oberrieden;http://www.oberrieden.de;09778183;Gemeinde in Deutschland ohne Stadtrecht;87769;Landkreis Unterallgäu;Bayern
Kammlach;http://www.kammlach.de;09778180;Gemeinde in Deutschland ohne Stadtrecht;87754;Landkreis Unterallgäu;Bayern
Niederrieden;https://niederrieden.vgem-boos.de;09778177;Gemeinde in Deutschland ohne Stadtrecht;87767;Landkreis Unterallgäu;Bayern
Mindelheim;https://www.mindelheim.de;09778173;Stadt in Deutschland;87711–87719;Landkreis Unterallgäu;Bayern
Memmingerberg;http://www.memmingerberg.de;09778171;Gemeinde in Deutschland ohne Stadtrecht;87766;Landkreis Unterallgäu;Bayern
Markt Wald;https://www.marktwald.de;09778169;Gemeinde in Deutschland ohne Stadtrecht;86865;Landkreis Unterallgäu;Bayern
Markt Rettenbach;http://www.markt-rettenbach.de;09778168;Gemeinde in Deutschland ohne Stadtrecht;87733;Landkreis Unterallgäu;Bayern
Legau;http://www.legau.de;09778165;Markt in Deutschland;87764;Landkreis Unterallgäu;Bayern
Lautrach;http://www.lautrach.de;09778164;Gemeinde in Deutschland ohne Stadtrecht;87763;Landkreis Unterallgäu;Bayern
Lauben;https://www.gemeinde-lauben.de;09778163;Gemeinde in Deutschland ohne Stadtrecht;87761;Landkreis Unterallgäu;Bayern
Lachen;http://www.gemeinde-lachen.de;09778162;Gemeinde in Deutschland ohne Stadtrecht;87760;Landkreis Unterallgäu;Bayern
Kronburg;https://www.vg-illerwinkel.de/verzeichnis/objekt.php?mandat=29446;09778161;Gemeinde in Deutschland ohne Stadtrecht;87758;Landkreis Unterallgäu;Bayern
Kirchheim in Schwaben;http://www.kirchheim-schwaben.de;09778158;Markt in Deutschland;87757;Landkreis Unterallgäu;Bayern
Kirchhaslach;http://www.babenhausen-schwaben.de;09778157;Gemeinde in Deutschland ohne Stadtrecht;87755;Landkreis Unterallgäu;Bayern
Holzgünz;http://www.holzguenz.de;09778151;Gemeinde in Deutschland ohne Stadtrecht;87752;Landkreis Unterallgäu;Bayern
Heimertingen;https://heimertingen.vgem-boos.de;09778150;Gemeinde in Deutschland ohne Stadtrecht;87751;Landkreis Unterallgäu;Bayern
Hawangen;http://www.hawangen.de;09778149;Gemeinde in Deutschland ohne Stadtrecht;87749;Landkreis Unterallgäu;Bayern
Bad Grönenbach;https://www.bad-groenenbach.de;09778144;Gemeinde in Deutschland ohne Stadtrecht;87730;Landkreis Unterallgäu;Bayern
Fellheim;https://fellheim.vgem-boos.de;09778139;Gemeinde in Deutschland ohne Stadtrecht;87748;Landkreis Unterallgäu;Bayern
Ettringen;http://www.ettringen.de;09778137;Gemeinde in Deutschland ohne Stadtrecht;86833;Landkreis Unterallgäu;Bayern
Erkheim;http://www.erkheim.de;09778136;Markt in Deutschland;87746;Landkreis Unterallgäu;Bayern
Eppishausen;https://eppishausen.de;09778134;Gemeinde in Deutschland ohne Stadtrecht;87745;Landkreis Unterallgäu;Bayern
Egg an der Günz;http://www.gemeinde-egg.de;09778130;Gemeinde in Deutschland ohne Stadtrecht;87743;Landkreis Unterallgäu;Bayern
Buxheim;http://www.buxheim.de;09778123;Gemeinde in Deutschland ohne Stadtrecht;87740;Landkreis Unterallgäu;Bayern
Breitenbrunn;https://www.breitenbrunn-schwaben.de;09778121;Gemeinde in Deutschland ohne Stadtrecht;87739;Landkreis Unterallgäu;Bayern
Boos;https://boos.vgem-boos.de;09778120;Gemeinde in Deutschland ohne Stadtrecht;87737;Landkreis Unterallgäu;Bayern
Böhen;http://www.gemeinde-boehen.de;09778119;Gemeinde in Deutschland ohne Stadtrecht;87736;Landkreis Unterallgäu;Bayern
Benningen;http://www.benningen-allgaeu.de;09778118;Gemeinde in Deutschland ohne Stadtrecht;87734;Landkreis Unterallgäu;Bayern
Bad Wörishofen;https://www.bad-woerishofen.de;09778116;Stadt in Deutschland;86825;Landkreis Unterallgäu;Bayern
Babenhausen;https://babenhausen-schwaben.de;09778115;Markt in Deutschland;87727;Landkreis Unterallgäu;Bayern
Apfeltrach;https://www.vg-dirlewang.de;09778113;Gemeinde in Deutschland ohne Stadtrecht;87742;Landkreis Unterallgäu;Bayern
Amberg;http://www.gemeinde-amberg.de;09778111;Gemeinde in Deutschland ohne Stadtrecht;86854;Landkreis Unterallgäu;Bayern
Rettenbach am Auerberg;https://www.rettenbach-amauerberg.de;09777183;Gemeinde in Deutschland ohne Stadtrecht;87675;Landkreis Ostallgäu;Bayern
Westendorf;https://www.gemeinde-westendorf.de;09777182;Gemeinde in Deutschland ohne Stadtrecht;87679;Landkreis Ostallgäu;Bayern
Wald;http://www.wald-allgaeu.de;09777179;Gemeinde in Deutschland ohne Stadtrecht;87616;Landkreis Ostallgäu;Bayern
Waal;https://www.waal.de;09777177;Gemeinde in Deutschland ohne Stadtrecht;86875;Landkreis Ostallgäu;Bayern
Untrasried;https://www.untrasried.de;09777176;Gemeinde in Deutschland ohne Stadtrecht;87496;Landkreis Ostallgäu;Bayern
Unterthingau;https://unterthingau.de;09777175;Markt in Deutschland;87647;Landkreis Ostallgäu;Bayern
Halblech;https://www.gemeinde-halblech.de;09777173;Gemeinde in Deutschland ohne Stadtrecht;87642;Landkreis Ostallgäu;Bayern
Stöttwang;http://www.stoettwang.de;09777172;Gemeinde in Deutschland ohne Stadtrecht;87677;Landkreis Ostallgäu;Bayern
Stötten am Auerberg;http://www.stoetten.de;09777171;Gemeinde in Deutschland ohne Stadtrecht;87675;Landkreis Ostallgäu;Bayern
Seeg;https://www.seeg.de;09777170;Gemeinde in Deutschland ohne Stadtrecht;87637;Landkreis Ostallgäu;Bayern
Schwangau;https://www.schwangau.de;09777169;Heilklimatischer Kurort;87643–87645;Landkreis Ostallgäu;Bayern
Rückholz;http://www.rueckholz.de;09777168;Gemeinde in Deutschland ohne Stadtrecht;87494;Landkreis Ostallgäu;Bayern
Ruderatshofen;http://www.ruderatshofen.de;09777167;Gemeinde in Deutschland ohne Stadtrecht;87674;Landkreis Ostallgäu;Bayern
Roßhaupten;http://www.rosshaupten.de;09777166;Gemeinde in Deutschland ohne Stadtrecht;87672;Landkreis Ostallgäu;Bayern
Ronsberg;https://www.ronsberg.de;09777165;Markt in Deutschland;87671;Landkreis Ostallgäu;Bayern
Rieden;http://www.rieden-zellerberg.de;09777164;Gemeinde in Deutschland ohne Stadtrecht;87668;Landkreis Ostallgäu;Bayern
Rieden am Forggensee;https://www.rieden.de;09777163;Gemeinde in Deutschland ohne Stadtrecht;87669;Landkreis Ostallgäu;Bayern
Pfronten;https://pfronten.de;09777159;Gemeinde in Deutschland ohne Stadtrecht;87459;Landkreis Ostallgäu;Bayern
Pforzen;https://www.pforzen.de;09777158;Gemeinde in Deutschland ohne Stadtrecht;87666;Landkreis Ostallgäu;Bayern
Osterzell;http://www.osterzell.de;09777157;Gemeinde in Deutschland ohne Stadtrecht;87662;Landkreis Ostallgäu;Bayern
Oberostendorf;https://oberostendorf.de;09777155;Gemeinde in Deutschland ohne Stadtrecht;86869;Landkreis Ostallgäu;Bayern
Obergünzburg;https://www.oberguenzburg.de;09777154;Gemeinde in Deutschland ohne Stadtrecht;87634;Landkreis Ostallgäu;Bayern
Nesselwang;https://www.nesselwang-buergerservice.de;09777153;Gemeinde in Deutschland ohne Stadtrecht;87484;Landkreis Ostallgäu;Bayern
Mauerstetten;https://www.mauerstetten.de;09777152;Gemeinde in Deutschland ohne Stadtrecht;87665;Landkreis Ostallgäu;Bayern
Marktoberdorf;https://www.marktoberdorf.de;09777151;Stadt in Deutschland;87616;Landkreis Ostallgäu;Bayern
Lengenwang;http://www.lengenwang.de;09777149;Gemeinde in Deutschland ohne Stadtrecht;87663;Landkreis Ostallgäu;Bayern
Lechbruck am See;https://gemeinde.lechbruck.de;09777147;Gemeinde in Deutschland ohne Stadtrecht;86983;Landkreis Ostallgäu;Bayern
Lamerdingen;https://www.lamerdingen.de;09777145;Gemeinde in Deutschland ohne Stadtrecht;86862;Landkreis Ostallgäu;Bayern
Kraftisried;http://www.kraftisried.com;09777144;Gemeinde in Deutschland ohne Stadtrecht;87647;Landkreis Ostallgäu;Bayern
Kaltental;https://www.markt-kaltental.de;09777141;Markt in Deutschland;87662;Landkreis Ostallgäu;Bayern
Jengen;https://www.jengen.de;09777140;Gemeinde in Deutschland ohne Stadtrecht;86860;Landkreis Ostallgäu;Bayern
Irsee;https://www.irsee.de;09777139;Markt in Deutschland;87660;Landkreis Ostallgäu;Bayern
Günzach;https://www.guenzach.de;09777138;Gemeinde in Deutschland ohne Stadtrecht;87634;Landkreis Ostallgäu;Bayern
Hopferau;https://www.hopferau.de;09777135;Gemeinde in Deutschland ohne Stadtrecht;87659;Landkreis Ostallgäu;Bayern
Görisried;https://www.goerisried.de;09777131;Gemeinde in Deutschland ohne Stadtrecht;87657;Landkreis Ostallgäu;Bayern
Germaringen;http://www.germaringen.de;09777130;Gemeinde in Deutschland ohne Stadtrecht;87656;Landkreis Ostallgäu;Bayern
Füssen;https://www.stadt-fuessen.de;09777129;Stadt in Deutschland;87629;Landkreis Ostallgäu;Bayern
Friesenried;http://www.friesenried.de;09777128;Gemeinde in Deutschland ohne Stadtrecht;87654;Landkreis Ostallgäu;Bayern
Eisenberg;https://www.eisenberg-allgaeu.de;09777125;Gemeinde in Deutschland ohne Stadtrecht;87637;Landkreis Ostallgäu;Bayern
Eggenthal;http://www.eggenthal.de;09777124;Gemeinde in Deutschland ohne Stadtrecht;87653;Landkreis Ostallgäu;Bayern
Buchloe;https://www.buchloe.de;09777121;Stadt in Deutschland;86807;Landkreis Ostallgäu;Bayern
Bidingen;http://www.bidingen.de;09777118;Gemeinde in Deutschland ohne Stadtrecht;87651;Landkreis Ostallgäu;Bayern
Baisweil;https://www.baisweil.de;09777114;Gemeinde in Deutschland ohne Stadtrecht;87650;Landkreis Ostallgäu;Bayern
Biessenhofen;https://www.biessenhofen.de;09777112;Gemeinde in Deutschland ohne Stadtrecht;87640;Landkreis Ostallgäu;Bayern
Aitrang;https://www.aitrang.de;09777111;Gemeinde in Deutschland ohne Stadtrecht;87648;Landkreis Ostallgäu;Bayern
Hergatz;http://www.hergatz.de;09776131;Gemeinde in Deutschland ohne Stadtrecht;88145;Landkreis Lindau;Bayern
Weißensberg;http://www.weissensberg.de;09776130;Gemeinde in Deutschland ohne Stadtrecht;88138;Landkreis Lindau;Bayern
Weiler-Simmerberg;http://www.weiler-simmerberg.de;09776129;Gemeinde in Deutschland ohne Stadtrecht;88171;Landkreis Lindau;Bayern
Wasserburg;http://www.wasserburg-bodensee.de;09776128;Gemeinde in Deutschland ohne Stadtrecht;88142;Landkreis Lindau;Bayern
Stiefenhofen;http://www.stiefenhofen.de;09776127;Gemeinde in Deutschland ohne Stadtrecht;88167;Landkreis Lindau;Bayern
Sigmarszell;http://www.sigmarszell.de;09776126;Gemeinde in Deutschland ohne Stadtrecht;88138;Landkreis Lindau;Bayern
Scheidegg;http://www.markt-scheidegg.de;09776125;Markt in Deutschland;88175;Landkreis Lindau;Bayern
Röthenbach im Allgäu;http://www.gemeinde-roethenbach-allgaeu.de;09776124;Gemeinde in Deutschland ohne Stadtrecht;88167;Landkreis Lindau;Bayern
Opfenbach;http://www.opfenbach.de;09776122;Gemeinde in Deutschland ohne Stadtrecht;88145;Landkreis Lindau;Bayern
Oberreute;https://www.oberreute.de;09776121;Siedlung;88179;Landkreis Lindau;Bayern
Nonnenhorn;https://www.nonnenhorn.eu;09776120;Gemeinde in Deutschland ohne Stadtrecht;88149;Landkreis Lindau;Bayern
Maierhöfen;http://www.maierhoefen.de;09776118;Gemeinde in Deutschland ohne Stadtrecht;88167;Landkreis Lindau;Bayern
Lindenberg im Allgäu;http://www.lindenberg.de;09776117;Stadt in Deutschland;88161;Landkreis Lindau;Bayern
Lindau;https://www.stadtlindau.de;09776116;Stadt in Deutschland;88131;Landkreis Lindau;Bayern
Hergensweiler;http://www.hergensweiler.de;09776115;Gemeinde in Deutschland ohne Stadtrecht;88138;Landkreis Lindau;Bayern
Heimenkirch;http://www.heimenkirch.de;09776114;Gemeinde in Deutschland ohne Stadtrecht;88178;Landkreis Lindau;Bayern
Grünenbach;http://www.gruenenbach.de;09776113;Gemeinde in Deutschland ohne Stadtrecht;88167;Landkreis Lindau;Bayern
Gestratz;http://www.gestratz.de;09776112;Gemeinde in Deutschland ohne Stadtrecht;88167;Landkreis Lindau;Bayern
Bodolz;http://www.bodolz.de;09776111;Gemeinde in Deutschland ohne Stadtrecht;88131;Landkreis Lindau;Bayern
Weißenhorn;https://weissenhorn.de;09775164;Stadt in Deutschland;89264;Landkreis Neu-Ulm;Bayern
Vöhringen;http://www.voehringen.de;09775162;Stadt in Deutschland;89269;Bayern;Bayern
Unterroth;http://www.vg-buch.de/index.php?id=0,91;09775161;Gemeinde in Deutschland ohne Stadtrecht;89299;Landkreis Neu-Ulm;Bayern
Senden;https://www.stadt-senden.de;09775152;Stadt in Deutschland;89250;Landkreis Neu-Ulm;Bayern
Roggenburg;http://www.roggenburg.de;09775149;Gemeinde in Deutschland ohne Stadtrecht;89297;Landkreis Neu-Ulm;Bayern
Pfaffenhofen an der Roth;http://www.markt-pfaffenhofen.de;09775143;Siedlung;89284;Landkreis Neu-Ulm;Bayern
Osterberg;https://www.osterberg-weiler.de;09775142;Gemeinde in Deutschland ohne Stadtrecht;89296;Landkreis Neu-Ulm;Bayern
Oberroth;http://www.oberroth.de;09775141;Gemeinde in Deutschland ohne Stadtrecht;89294;Landkreis Neu-Ulm;Bayern
Elchingen;https://elchingen.de;09775139;Gemeinde in Deutschland ohne Stadtrecht;89081, 89275;Landkreis Neu-Ulm;Bayern
Neu-Ulm;https://nu.neu-ulm.de;09775135;kreisfreie Stadt in Bayern;89231, 89233;Landkreis Neu-Ulm;Bayern
Nersingen;https://www.nersingen.de;09775134;Gemeinde in Deutschland ohne Stadtrecht;89278;Landkreis Neu-Ulm;Bayern
Kellmünz an der Iller;http://www.kellmuenz.de;09775132;Gemeinde in Deutschland ohne Stadtrecht;89293;Landkreis Neu-Ulm;Bayern
Illertissen;https://www.illertissen.de;09775129;Stadt in Deutschland;89257;Landkreis Neu-Ulm;Bayern
Holzheim;http://www.holzheim-nu.de;09775126;Gemeinde in Deutschland ohne Stadtrecht;89291;Landkreis Neu-Ulm;Bayern
Buch/Bayern;http://www.vg-buch.de/index.php?id=0,58;09775118;Markt in Deutschland;89290;Landkreis Neu-Ulm;Bayern
Bellenberg;http://www.gemeinde-bellenberg.de;09775115;Gemeinde in Deutschland ohne Stadtrecht;89287;Landkreis Neu-Ulm;Bayern
Altenstadt;http://www.altenstadt-vg.de/index.php?id=0,174;09775111;Gemeinde in Deutschland ohne Stadtrecht;89281;Landkreis Neu-Ulm;Bayern
Ziemetshausen;http://www.ziemetshausen.de;09774198;Gemeinde in Deutschland ohne Stadtrecht;86473;Landkreis Günzburg;Bayern
Winterbach;https://www.winterbach.bayern;09774196;Gemeinde in Deutschland ohne Stadtrecht;89368;Landkreis Günzburg;Bayern
Waltenhausen;https://www.vg-krumbach.de/gemeinde-waltenhausen;09774192;Gemeinde in Deutschland ohne Stadtrecht;86480;Landkreis Günzburg;Bayern
Waldstetten;http://www.markt-waldstetten.de;09774191;Markt in Deutschland;89367;Landkreis Günzburg;Bayern
Wiesenbach;http://www.wiesenbach.de;09774189;Gemeinde in Deutschland ohne Stadtrecht;86519;Landkreis Günzburg;Bayern
Thannhausen;https://www.thannhausen.de;09774185;Stadt in Deutschland;86470;Landkreis Günzburg;Bayern
Röfingen;http://www.roefingen-rosshaupten.de;09774178;Gemeinde in Deutschland ohne Stadtrecht;89365;Landkreis Günzburg;Bayern
